date,year,title,simple_title,artist,main_artist,peak_pos,last_pos,weeks,rank,change,spotify_link,spotify_id,video_link,genre,broad_genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6/21/18,NA,Mercy,,Brett Young,,63,74,6,63,11,spotify:track:2VIPU72L6tIR4w8J8ap6Kp,2VIPU72L6tIR4w8J8ap6Kp,,[u'contemporary country'],,https://api.spotify.com/v1/audio-analysis/2VIPU72L6tIR4w8J8ap6Kp,0.367,0.0999,71.957,0.0266,0.84,0,4,0.638,4,217120,-7.906,0.219,1
6/21/18,NA,Mine,,Bazzi,,11,23,21,15,8,spotify:track:7uzmGiiJyRfuViKKK3lVmR,7uzmGiiJyRfuViKKK3lVmR,,"[u'pop', u'post-teen pop']",,https://api.spotify.com/v1/audio-analysis/7uzmGiiJyRfuViKKK3lVmR,0.789,0.451,142.929,0.0722,0.0161,2.77E-06,4,0.71,4,131064,-3.874,0.717,1
6/21/18,NA,Never Be The Same,,Camila Cabello,,6,18,26,19,-1,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,4eWQlBRaTjPPUlzacqEeoQ,,"[u'dance pop', u'pop', u'post-teen pop']",,https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ,0.713,0.137,129.923,0.0747,0.181,0.000637,4,0.637,0,226973,-4.333,0.243,1
6/21/18,NA,New Rules,,Dua Lipa,,6,40,46,35,5,spotify:track:2ekn2ttSfGqwhhate0LSR0,2ekn2ttSfGqwhhate0LSR0,,[u'pop'],,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,0.7,0.153,116.073,0.0694,0.00261,1.56E-05,4,0.762,9,209320,-6.021,0.608,0
6/21/18,NA,Nice For What,,Drake,,1,2,10,1,1,spotify:track:1cTZMwcBJT0Ka3UJPXOeeN,1cTZMwcBJT0Ka3UJPXOeeN,,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",,https://api.spotify.com/v1/audio-analysis/1cTZMwcBJT0Ka3UJPXOeeN,0.913,0.114,93.35,0.0736,0.0934,0.000124,4,0.567,8,210926,-6.471,0.792,1
6/21/18,NA,No Tears Left To Cry,,Ariana Grande,,3,13,8,9,4,spotify:track:5SxkdsY1ufZzoq9iXceLw9,5SxkdsY1ufZzoq9iXceLw9,,"[u'dance pop', u'pop', u'post-teen pop']",,https://api.spotify.com/v1/audio-analysis/5SxkdsY1ufZzoq9iXceLw9,0.696,0.274,121.969,0.0529,0.0375,5.65E-06,4,0.703,0,205947,-5.482,0.366,1
6/21/18,NA,One Kiss,,Calvin Harris & Dua Lipa,,30,38,10,30,8,spotify:track:7ef4DlsgrMEH11cDZd32M6,7ef4DlsgrMEH11cDZd32M6,,unknown,,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,0.862,0.0814,123.994,0.11,0.037,2.19E-05,4,0.791,9,214847,-3.24,0.592,0
6/21/18,NA,One Number Away,,Luke Combs,,34,45,13,45,0,spotify:track:4gB7HrYHbJVJ5RFOjxmoq4,4gB7HrYHbJVJ5RFOjxmoq4,,"[u'contemporary country', u'country road']",,https://api.spotify.com/v1/audio-analysis/4gB7HrYHbJVJ5RFOjxmoq4,0.781,0.191,144.075,0.0311,0.00585,0,4,0.544,6,221800,-6.16,0.527,0
6/21/18,NA,OTW,,"Khalid, Ty Dolla $ign & 6LACK",,57,80,8,81,-1,spotify:track:5K7SWeDcY4qL0KxaQxhZhk,5K7SWeDcY4qL0KxaQxhZhk,,unknown,,https://api.spotify.com/v1/audio-analysis/5K7SWeDcY4qL0KxaQxhZhk,0.485,0.28,73.717,0.0577,0.328,0.918,4,0.629,4,266036,-11.835,0.208,0
6/21/18,NA,Overdose,,YoungBoy Never Broke Again,,42,72,7,77,-5,spotify:track:3A1BaBGT3HgzuDrV9pgX9v,3A1BaBGT3HgzuDrV9pgX9v,,[u'trap music'],,https://api.spotify.com/v1/audio-analysis/3A1BaBGT3HgzuDrV9pgX9v,0.845,0.638,90.015,0.352,0.224,0,4,0.809,10,176990,-5.843,0.67,0
